species,season,reason
anaxyrus_americanus,spring,missing_outputs
anaxyrus_americanus,summer,missing_outputs
anaxyrus_americanus,fall,missing_outputs
anaxyrus_americanus,winter,missing_outputs
anaxyrus_fowleri,spring,missing_outputs
anaxyrus_fowleri,summer,missing_outputs
anaxyrus_fowleri,fall,missing_outputs
anaxyrus_fowleri,winter,missing_outputs
dryophytes_avivoca,spring,missing_outputs
dryophytes_avivoca,summer,missing_outputs
dryophytes_avivoca,fall,missing_outputs
dryophytes_avivoca,winter,missing_outputs
dryophytes_chrysoscelis,spring,missing_outputs
dryophytes_chrysoscelis,summer,missing_outputs
dryophytes_chrysoscelis,fall,missing_outputs
dryophytes_chrysoscelis,winter,missing_outputs
dryophytes_cinereus,spring,missing_outputs
dryophytes_cinereus,summer,missing_outputs
dryophytes_cinereus,fall,missing_outputs
dryophytes_cinereus,winter,missing_outputs
gastrophryne_carolinensis,spring,missing_outputs
gastrophryne_carolinensis,summer,missing_outputs
gastrophryne_carolinensis,fall,missing_outputs
gastrophryne_carolinensis,winter,missing_outputs
lithobates_catesbeianus,spring,missing_outputs
lithobates_catesbeianus,summer,missing_outputs
lithobates_catesbeianus,fall,missing_outputs
lithobates_catesbeianus,winter,missing_outputs
lithobates_clamitans,spring,missing_outputs
lithobates_clamitans,summer,missing_outputs
lithobates_clamitans,fall,missing_outputs
lithobates_clamitans,winter,missing_outputs
lithobates_sphenocephalus,spring,missing_outputs
lithobates_sphenocephalus,summer,missing_outputs
lithobates_sphenocephalus,fall,missing_outputs
lithobates_sphenocephalus,winter,missing_outputs
agelaius_phoeniceus,spring,missing_outputs
agelaius_phoeniceus,summer,missing_outputs
agelaius_phoeniceus,fall,missing_outputs
agelaius_phoeniceus,winter,missing_outputs
ammospiza_leconteii,spring,missing_outputs
ammospiza_leconteii,summer,missing_outputs
ammospiza_leconteii,fall,missing_outputs
ammospiza_leconteii,winter,missing_outputs
archilochus_colubris,spring,missing_outputs
archilochus_colubris,summer,missing_outputs
archilochus_colubris,fall,missing_outputs
archilochus_colubris,winter,missing_outputs
buteo_lineatus,spring,missing_outputs
buteo_lineatus,summer,missing_outputs
buteo_lineatus,fall,missing_outputs
buteo_lineatus,winter,missing_outputs
calidris_melanotos,spring,missing_outputs
calidris_melanotos,summer,missing_outputs
calidris_melanotos,fall,missing_outputs
calidris_melanotos,winter,missing_outputs
calidris_pusilla,spring,missing_outputs
calidris_pusilla,summer,missing_outputs
calidris_pusilla,fall,missing_outputs
calidris_pusilla,winter,missing_outputs
cistothorus_palustris,spring,missing_outputs
cistothorus_palustris,summer,missing_outputs
cistothorus_palustris,fall,missing_outputs
cistothorus_palustris,winter,missing_outputs
coccyzus_americanus,spring,missing_outputs
coccyzus_americanus,summer,missing_outputs
coccyzus_americanus,fall,missing_outputs
coccyzus_americanus,winter,missing_outputs
dryocopus_pileatus,spring,missing_outputs
dryocopus_pileatus,summer,missing_outputs
dryocopus_pileatus,fall,missing_outputs
dryocopus_pileatus,winter,missing_outputs
egretta_caerulea,spring,missing_outputs
egretta_caerulea,summer,missing_outputs
egretta_caerulea,fall,missing_outputs
egretta_caerulea,winter,missing_outputs
elanoides_forficatus,spring,missing_outputs
elanoides_forficatus,summer,missing_outputs
elanoides_forficatus,fall,missing_outputs
elanoides_forficatus,winter,missing_outputs
empidonax_virescens,spring,missing_outputs
empidonax_virescens,summer,missing_outputs
empidonax_virescens,fall,missing_outputs
empidonax_virescens,winter,missing_outputs
euphagus_carolinus,spring,missing_outputs
euphagus_carolinus,summer,missing_outputs
euphagus_carolinus,fall,missing_outputs
euphagus_carolinus,winter,missing_outputs
geothlypis_formosa,spring,missing_outputs
geothlypis_formosa,summer,missing_outputs
geothlypis_formosa,fall,missing_outputs
geothlypis_formosa,winter,missing_outputs
geothlypis_trichas,spring,missing_outputs
geothlypis_trichas,summer,missing_outputs
geothlypis_trichas,fall,missing_outputs
geothlypis_trichas,winter,missing_outputs
hylocichla_mustelina,spring,missing_outputs
hylocichla_mustelina,summer,missing_outputs
hylocichla_mustelina,fall,missing_outputs
hylocichla_mustelina,winter,missing_outputs
limnothlypis_swainsonii,spring,missing_outputs
limnothlypis_swainsonii,summer,missing_outputs
limnothlypis_swainsonii,fall,missing_outputs
limnothlypis_swainsonii,winter,missing_outputs
meleagris_gallopavo,spring,missing_outputs
meleagris_gallopavo,summer,missing_outputs
meleagris_gallopavo,fall,missing_outputs
meleagris_gallopavo,winter,missing_outputs
melospiza_georgiana,spring,missing_outputs
melospiza_georgiana,summer,missing_outputs
melospiza_georgiana,fall,missing_outputs
melospiza_georgiana,winter,missing_outputs
melospiza_melodia,spring,missing_outputs
melospiza_melodia,summer,missing_outputs
melospiza_melodia,fall,missing_outputs
melospiza_melodia,winter,missing_outputs
parkesia_motacilla,spring,missing_outputs
parkesia_motacilla,summer,missing_outputs
parkesia_motacilla,fall,missing_outputs
parkesia_motacilla,winter,missing_outputs
pluvialis_dominica,spring,missing_outputs
pluvialis_dominica,summer,missing_outputs
pluvialis_dominica,fall,missing_outputs
pluvialis_dominica,winter,missing_outputs
protonotaria_citrea,spring,missing_outputs
protonotaria_citrea,summer,missing_outputs
protonotaria_citrea,fall,missing_outputs
protonotaria_citrea,winter,missing_outputs
rallus_elegans,spring,missing_outputs
rallus_elegans,summer,missing_outputs
rallus_elegans,fall,missing_outputs
rallus_elegans,winter,missing_outputs
setophaga_americana,spring,missing_outputs
setophaga_americana,summer,missing_outputs
setophaga_americana,fall,missing_outputs
setophaga_americana,winter,missing_outputs
setophaga_citrina,spring,missing_outputs
setophaga_citrina,summer,missing_outputs
setophaga_citrina,fall,missing_outputs
setophaga_citrina,winter,missing_outputs
setophaga_dominica,spring,missing_outputs
setophaga_dominica,summer,missing_outputs
setophaga_dominica,fall,missing_outputs
setophaga_dominica,winter,missing_outputs
sphyrapicus_varius,spring,missing_outputs
sphyrapicus_varius,summer,missing_outputs
sphyrapicus_varius,fall,missing_outputs
sphyrapicus_varius,winter,missing_outputs
sternula_antillarum,spring,missing_outputs
sternula_antillarum,summer,missing_outputs
sternula_antillarum,fall,missing_outputs
sternula_antillarum,winter,missing_outputs
tringa_flavipes,spring,missing_outputs
tringa_flavipes,summer,missing_outputs
tringa_flavipes,fall,missing_outputs
tringa_flavipes,winter,missing_outputs
vireo_flavifrons,spring,missing_outputs
vireo_flavifrons,summer,missing_outputs
vireo_flavifrons,fall,missing_outputs
vireo_flavifrons,winter,missing_outputs
vireo_griseus,spring,missing_outputs
vireo_griseus,summer,missing_outputs
vireo_griseus,fall,missing_outputs
vireo_griseus,winter,missing_outputs
odocoileus_virginianus,spring,missing_outputs
odocoileus_virginianus,summer,missing_outputs
